,Ranking,Movie,Rating,Year,Crew
37,38,American History X,8.48,1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong"
38,39,The Departed,8.48,2006,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"
39,40,The Usual Suspects,8.47,1995,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne"
40,41,The Prestige,8.47,2006,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman"
41,42,Whiplash,8.46,2014,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons"
42,43,Casablanca,8.46,1942,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman"
43,44,Seppuku,8.46,1962,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama"
44,45,The Intouchables,8.45,2011,"Olivier Nakache (dir.), François Cluzet, Omar Sy"
45,46,Hotaru no haka,8.45,1988,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi"
46,47,Modern Times,8.45,1936,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
47,48,Once Upon a Time in the West,8.44,1968,"Sergio Leone (dir.), Henry Fonda, Charles Bronson"
48,49,Rear Window,8.44,1954,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly"
49,50,Alien,8.43,1979,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt"
50,51,City Lights,8.43,1931,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill"
51,52,Nuovo Cinema Paradiso,8.43,1988,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale"
52,53,Apocalypse Now,8.42,1979,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando"
53,54,Memento,8.42,2000,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss"
54,55,Raiders of the Lost Ark,8.41,1981,"Steven Spielberg (dir.), Harrison Ford, Karen Allen"
55,56,Django Unchained,8.41,2012,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz"
56,57,WALL·E,8.39,2008,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight"
57,58,The Lives of Others,8.39,2006,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck"
58,59,Sunset Blvd.,8.38,1950,"Billy Wilder (dir.), William Holden, Gloria Swanson"
59,60,Paths of Glory,8.37,1957,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker"
60,61,The Shining,8.37,1980,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall"
61,62,The Great Dictator,8.37,1940,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
62,63,Avengers: Infinity War,8.36,2018,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth"
63,64,Witness for the Prosecution,8.36,1957,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich"
64,65,Aliens,8.34,1986,"James Cameron (dir.), Sigourney Weaver, Michael Biehn"
65,66,Spider-Man: Into the Spider-Verse,8.33,2018,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson"
66,67,American Beauty,8.33,1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening"
67,68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.33,1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott"
68,69,The Dark Knight Rises,8.33,2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy"
69,70,Oldeuboi,8.32,2003,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae"
70,71,Amadeus,8.32,1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce"
71,72,Joker,8.32,2019,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro"
72,73,Inglourious Basterds,8.32,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger"
73,74,Coco,8.31,2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal"
74,75,Toy Story,8.31,1995,"John Lasseter (dir.), Tom Hanks, Tim Allen"
75,76,Braveheart,8.31,1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau"
76,77,Das Boot,8.31,1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer"
77,78,Avengers: Endgame,8.3,2019,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans"
78,79,Mononoke-hime,8.3,1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida"
79,80,Once Upon a Time in America,8.3,1984,"Sergio Leone (dir.), Robert De Niro, James Woods"
80,81,Good Will Hunting,8.29,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon"
81,82,Top Gun: Maverick,8.29,2022,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly"
82,83,Kimi no Na wa.,8.28,2016,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi"
83,84,Requiem for a Dream,8.28,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto"
84,85,Singin' in the Rain,8.27,1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor"
85,86,Toy Story 3,8.27,2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen"
86,87,3 Idiots,8.27,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan"
87,88,Tengoku to jigoku,8.27,1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada"
88,89,Star Wars: Episode VI - Return of the Jedi,8.27,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford"
89,90,Capharnaüm,8.26,2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw"
90,91,Eternal Sunshine of the Spotless Mind,8.26,2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet"
91,92,2001: A Space Odyssey,8.26,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood"
92,93,Reservoir Dogs,8.26,1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth"
93,94,Jagten,8.26,2012,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen"
94,95,Idi i smotri,8.25,1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova"
95,96,Citizen Kane,8.25,1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten"
96,97,M - Eine Stadt sucht einen Mörder,8.25,1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann"
97,98,Lawrence of Arabia,8.25,1962,"David Lean (dir.), Peter O'Toole, Alec Guinness"
98,99,North by Northwest,8.25,1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint"
99,100,Vertigo,8.24,1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak"
100,101,Le fabuleux destin d'Amélie Poulain,8.24,2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz"
101,102,A Clockwork Orange,8.24,1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee"
102,103,The Apartment,8.24,1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
103,104,Ikiru,8.24,1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko"
104,105,Double Indemnity,8.24,1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
105,106,Full Metal Jacket,8.24,1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey"
106,107,Scarface,8.24,1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer"
107,108,Hamilton,8.23,2020,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo"
108,109,The Sting,8.23,1973,"George Roy Hill (dir.), Paul Newman, Robert Redford"
109,110,To Kill a Mockingbird,8.23,1962,"Robert Mulligan (dir.), Gregory Peck, John Megna"
110,111,Incendies,8.22,2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin"
111,112,Up,8.22,2009,"Pete Docter (dir.), Edward Asner, Jordan Nagai"
112,113,Heat,8.22,1995,"Michael Mann (dir.), Al Pacino, Robert De Niro"
113,114,Taxi Driver,8.22,1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster"
114,115,Jodaeiye Nader az Simin,8.22,2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami"
115,116,Metropolis,8.22,1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
116,117,L.A. Confidential,8.22,1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
117,118,Snatch,8.22,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt"
118,119,Die Hard,8.22,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
119,120,Ladri di biciclette,8.22,1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola"
120,121,Indiana Jones and the Last Crusade,8.22,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
121,122,1917,8.21,2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay"
122,123,Taare Zameen Par,8.21,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
123,124,Der Untergang,8.2,2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara"
124,125,Per qualche dollaro in più,8.2,1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef"
125,126,Batman Begins,8.2,2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine"
126,127,Dangal,8.2,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar"
127,128,The Kid,8.19,1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance"
128,129,Some Like It Hot,8.19,1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis"
129,130,The Father,8.18,2020,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman"
130,131,All About Eve,8.18,1950,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter"
131,132,Green Book,8.18,2018,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali"
132,133,The Wolf of Wall Street,8.18,2013,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill"
133,134,Judgment at Nuremberg,8.17,1961,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster"
134,135,Ran,8.16,1985,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao"
135,136,Casino,8.16,1995,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone"
136,137,Pan's Labyrinth,8.16,2006,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil"
137,138,Unforgiven,8.16,1992,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman"
138,139,There Will Be Blood,8.16,2007,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano"
139,140,The Truman Show,8.16,1998,"Peter Weir (dir.), Jim Carrey, Ed Harris"
140,141,The Sixth Sense,8.15,1999,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment"
141,142,A Beautiful Mind,8.15,2001,"Ron Howard (dir.), Russell Crowe, Ed Harris"
142,143,Spider-Man: No Way Home,8.15,2021,"Jon Watts (dir.), Tom Holland, Zendaya"
143,144,Yôjinbô,8.15,1961,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno"
144,145,Shutter Island,8.15,2010,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer"
145,146,Monty Python and the Holy Grail,8.15,1975,"Terry Gilliam (dir.), Graham Chapman, John Cleese"
146,147,The Treasure of the Sierra Madre,8.15,1948,"John Huston (dir.), Humphrey Bogart, Walter Huston"
147,148,Jurassic Park,8.15,1993,"Steven Spielberg (dir.), Sam Neill, Laura Dern"
148,149,The Great Escape,8.14,1963,"John Sturges (dir.), Steve McQueen, James Garner"
149,150,Rashômon,8.14,1950,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô"
150,151,Kill Bill: Vol. 1,8.14,2003,"Quentin Tarantino (dir.), Uma Thurman, David Carradine"
151,152,No Country for Old Men,8.14,2007,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem"
152,153,Finding Nemo,8.13,2003,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres"
153,154,The Thing,8.13,1982,"John Carpenter (dir.), Kurt Russell, Wilford Brimley"
154,155,The Elephant Man,8.13,1980,"David Lynch (dir.), Anthony Hopkins, John Hurt"
155,156,Chinatown,8.13,1974,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway"
156,157,Raging Bull,8.13,1980,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty"
157,158,V for Vendetta,8.12,2005,"James McTeigue (dir.), Hugo Weaving, Natalie Portman"
158,159,Gone with the Wind,8.12,1939,"Victor Fleming (dir.), Clark Gable, Vivien Leigh"
159,160,Inside Out,8.12,2015,"Pete Docter (dir.), Amy Poehler, Bill Hader"
160,161,"Lock, Stock and Two Smoking Barrels",8.12,1998,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher"
161,162,Dial M for Murder,8.12,1954,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly"
162,163,El secreto de sus ojos,8.12,2009,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil"
163,164,Hauru no ugoku shiro,8.12,2004,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura"
164,165,The Bridge on the River Kwai,8.11,1957,"David Lean (dir.), William Holden, Alec Guinness"
